accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr
0.125,0.1111111111111111,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[0, 0, 3], [0, 0, 2], [0, 2, 1]]",valence,0.07407407407407407,0.125,0.08333333333333333,,,2,,,-0.33333333333333326,1.0889504594426587,-0.44095855184409843,subject_dependent,rbf_svm,,,0.5972222222222222,0.05555555555555555,0.125,0.0625,0.1111111111111111,0.125,0.125,0.6166666666666667,,,,
0.375,0.3333333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.01}",,"[[0, 0, 2], [0, 0, 3], [0, 0, 3]]",valence,0.1818181818181818,0.375,0.20454545454545453,,,3,,,0.0,1.1151811327022345,0.0,subject_dependent,rbf_svm,,,0.5879629629629629,0.125,0.375,0.140625,0.3333333333333333,0.375,0.375,0.5388888888888889,,,,
0.75,0.6666666666666666,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[1, 0, 1], [0, 1, 1], [0, 0, 4]]",valence,0.7111111111111111,0.75,0.7333333333333334,,,4,,,0.5555555555555556,1.2884178604649903,0.6201736729460423,subject_dependent,rbf_svm,,,0.29325396825396827,0.8888888888888888,0.75,0.8333333333333333,0.6666666666666666,0.75,0.75,0.15972222222222224,,,,
0.375,0.16666666666666666,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[0, 1, 0], [1, 3, 2], [0, 1, 0]]",valence,0.1818181818181818,0.375,0.40909090909090906,,,0,,,-0.29032258064516125,1.0704002109288961,-0.3027027572983406,subject_dependent,rbf_svm,,,0.4689153439153439,0.19999999999999998,0.375,0.44999999999999996,0.16666666666666666,0.375,0.375,0.5158730158730158,,,,
0.25,0.4166666666666667,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[0, 3, 0], [0, 1, 0], [0, 3, 1]]",valence,0.21666666666666667,0.25,0.23125,,,1,,,0.09433962264150941,1.332787017546714,0.21677749238102997,subject_dependent,rbf_svm,,,0.42367724867724865,0.38095238095238093,0.25,0.5178571428571429,0.4166666666666667,0.25,0.25,0.49146825396825394,,,,
0.125,0.3333333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 2, 0], [0, 1, 0], [0, 5, 0]]",valence,0.07407407407407407,0.125,0.027777777777777776,,,2,,,0.0,1.8578824091183144,0.0,subject_dependent,rbf_svm,,,0.6575396825396825,0.041666666666666664,0.125,0.015625,0.3333333333333333,0.125,0.125,0.6801587301587303,,,,
0.625,0.4166666666666667,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.3654482731510867,"[[0, 2], [1, 5]]",valence,0.38461538461538464,0.625,0.576923076923077,1,0.16666666666666666,3,2,1.0,-0.19999999999999996,,-0.2182178902359924,subject_dependent,rbf_svm,0.0,0.7142857142857143,,0.35714285714285715,0.625,0.5357142857142857,0.4166666666666667,0.625,0.625,,0,0.0,5,0.8333333333333334
0.5,0.4444444444444444,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[1, 1, 1], [0, 3, 0], [0, 2, 0]]",valence,0.38888888888888884,0.5,0.4375,,,4,,,0.2195121951219512,1.165024392630548,0.2723523897009611,subject_dependent,rbf_svm,,,0.49391534391534386,0.5,0.5,0.5625,0.4444444444444444,0.5,0.5,0.5333333333333333,,,,
0.75,0.7222222222222222,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[2, 1, 0], [1, 1, 0], [0, 0, 3]]",valence,0.7222222222222222,0.75,0.75,,,0,,,0.6190476190476191,1.0249362764727188,0.6190476190476191,subject_dependent,rbf_svm,,,0.5939153439153438,0.7222222222222222,0.75,0.75,0.7222222222222222,0.75,0.75,0.6777777777777777,,,,
0.875,0.9,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.3755686924091457,"[[3, 0], [1, 4]]",valence,0.873015873015873,0.875,0.876984126984127,1,0.2,1,0,0.0,0.75,,0.7745966692414834,subject_dependent,rbf_svm,0.75,1.0,,0.875,0.875,0.90625,0.9,0.875,0.875,,3,1.0,4,0.8
