accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr
0.25,0.25,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.3288856655527501,"[[2, 2], [4, 0]]",valence,0.2,0.25,0.2,4,1.0,0,2,0.5,-0.5,0.8593905125126217,-0.5773502691896258,subject_dependent,rbf_svm,0.3333333333333333,0.0,0.8541666666666666,0.16666666666666666,0.25,0.16666666666666666,0.25,0.25,0.25,0.1875,2,0.5,0,0.0
0.5,0.4666666666666667,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.23472220852085207,"[[1, 2], [2, 3]]",valence,0.4666666666666667,0.5,0.5,2,0.4,1,2,0.6666666666666666,-0.06666666666666665,0.6620311635349956,-0.06666666666666667,subject_dependent,rbf_svm,0.3333333333333333,0.6,0.4583333333333333,0.4666666666666667,0.5,0.5,0.4666666666666667,0.5,0.5,0.5333333333333334,1,0.3333333333333333,3,0.6
0.625,0.5833333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.35880892672691345,"[[1, 1], [2, 4]]",valence,0.5636363636363637,0.625,0.6454545454545454,2,0.3333333333333333,2,1,0.5,0.1428571428571429,0.9280752270200208,0.14907119849998599,subject_dependent,rbf_svm,0.3333333333333333,0.8,0.41666666666666663,0.5666666666666667,0.625,0.6833333333333335,0.5833333333333333,0.625,0.625,0.3333333333333333,1,0.5,4,0.6666666666666666
0.125,0.25,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.13257261467248202,"[[1, 1], [6, 0]]",valence,0.1111111111111111,0.125,0.05555555555555555,6,1.0,3,1,0.5,-0.2727272727272727,0.4415140122039954,-0.6546536707079772,subject_dependent,rbf_svm,0.14285714285714285,0.0,0.20833333333333331,0.07142857142857142,0.125,0.03571428571428571,0.25,0.125,0.125,0.9166666666666667,1,0.5,0,0.0
0.75,0.8,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.5051901420616822,"[[3, 2], [0, 3]]",valence,0.75,0.75,0.75,0,0.0,4,2,0.4,0.5294117647058824,1.406671680616581,0.6,subject_dependent,rbf_svm,1.0,0.6,1.0,0.8,0.75,0.85,0.8,0.75,0.75,0.0,3,0.6,3,1.0
0.625,0.3333333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.01}",,"[[0, 0, 1], [0, 0, 2], [0, 0, 5]]",valence,0.25641025641025644,0.625,0.4807692307692308,,,0,,,0.0,0.9277794053299134,0.0,subject_dependent,rbf_svm,,,0.4158730158730159,0.20833333333333334,0.625,0.390625,0.3333333333333333,0.625,0.625,0.46269841269841266,,,,
0.5,0.2222222222222222,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[0, 0, 1], [0, 0, 1], [0, 2, 4]]",valence,0.2222222222222222,0.5,0.5,,,1,,,-0.23076923076923084,0.804766846997793,-0.24019223070763068,subject_dependent,rbf_svm,,,0.6674603174603174,0.2222222222222222,0.5,0.5,0.2222222222222222,0.5,0.5,0.5952380952380952,,,,
0.5,0.3333333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 1, 0], [0, 0, 3], [0, 0, 4]]",valence,0.24242424242424243,0.5,0.36363636363636365,,,2,,,0.030303030303030276,1.093762954406177,0.043355498476206,subject_dependent,rbf_svm,,,0.3857142857142857,0.19047619047619047,0.5,0.2857142857142857,0.3333333333333333,0.5,0.5,0.398015873015873,,,,
0.75,0.6666666666666666,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.3462900915360104,"[[1, 2], [0, 5]]",valence,0.6666666666666667,0.75,0.7083333333333334,0,0.0,3,2,0.6666666666666666,0.3846153846153846,,0.4879500364742666,subject_dependent,rbf_svm,1.0,0.7142857142857143,,0.8571428571428572,0.75,0.8214285714285714,0.6666666666666666,0.75,0.75,,1,0.3333333333333333,5,1.0
0.625,0.3333333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.01}",,"[[0, 0, 1], [0, 0, 2], [0, 0, 5]]",valence,0.25641025641025644,0.625,0.4807692307692308,,,4,,,0.0,0.900932025557359,0.0,subject_dependent,rbf_svm,,,0.5987301587301587,0.20833333333333334,0.625,0.390625,0.3333333333333333,0.625,0.625,0.6682539682539682,,,,
